Province,Fuel,Name (File 1),Name (File 2),Capacity (File 1),Capacity (File 2),Difference (MW),Status
thai binh,coal,Thái Bình I,Thái Bình I,600.0,600.0,0.0,Matched
thai binh,coal,Thái Bình II,Thái Bình II,1200.0,1200.0,0.0,Matched
thai binh,coal,N/A,Thái Bình III,N/A,4000.0,N/A,Only in File 2
thai nguyen,coal,N/A,Cao Ngạn,N/A,115.0,N/A,Only in File 2
thanh hoa,coal,Công Thanh,Công Thanh,600.0,600.0,0.0,Matched
thanh hoa,coal,Nghi Sơn I,Nghi Sơn I,600.0,600.0,0.0,Matched
thanh hoa,coal,Nghi Sơn II,Nghi Sơn II,1200.0,1200.0,0.0,Matched
thua thien-hue,coal,N/A,Phong Điền,N/A,2000.0,N/A,Only in File 2
tien giang,gas,N/A,Tân Phước,N/A,4500.0,N/A,Only in File 2
tp ho chi minh,gas,Hiệp Phước,Hiệp Phước LNG I&II,1200.0,1200.0,0.0,Matched (Fuzzy)
tp ho chi minh,gas/oil,Thu Đức,Thu Đức,278.0,278.0,0.0,Matched
tp ho chi minh,oil,N/A,Hiệp Phước,N/A,375.0,N/A,Only in File 2
tra vinh,coal,Duyên Hải I,Duyên Hải I,1244.0,1244.0,0.0,Matched
tra vinh,coal,Duyên Hải II,Duyên Hải II,1320.0,1320.0,0.0,Matched
tra vinh,coal,Duyên Hải III,Duyên Hải III,1245.0,1245.0,0.0,Matched
tra vinh,coal,Duyên Hải III MR,Duyên Hải III MR,660.0,660.0,0.0,Matched
unknown,gas,N/A,Đức Giang,N/A,100.0,N/A,Only in File 2
unknown,gas,N/A,Hòa Phát II,N/A,300.0,N/A,Only in File 2
unknown,gas,N/A,Vê Dan,N/A,72.0,N/A,Only in File 2
unknown,oil,N/A,Bourbon,N/A,24.0,N/A,Only in File 2
đong nai,coal,N/A,Formosa Đồng Nai,N/A,150.0,N/A,Only in File 2
đong nai,diesel,N/A,Amata,N/A,14.0,N/A,Only in File 2
đong nai,gas,Nhơn Trạch 1,Nhơn Trạch 1,450.0,450.0,0.0,Matched
đong nai,gas,Nhơn Trạch 2,Nhơn Trạch 2,750.0,750.0,0.0,Matched
đong nai,gas,Nhơn Trạch 3&4,Nhơn Trạch 3&4,1624.0,1624.0,0.0,Matched
